,title,artist,title_lower,artist_lower,artist_lower_clean,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
40,Got What I Got,Jason Aldean,got what i got,jason aldean,jason aldean,0.512,0.58,3.0,-6.658,0.0,0.029,0.621,1.72e-05,0.513,0.303,159.847,4TCc369aRPRubv1m8R1TBG
41,"Big, Big Plans",Chris Lane,"big, big plans",chris lane,chris lane,0.574,0.58,7.0,-6.091,1.0,0.0278,0.076,0.0,0.12,0.4,149.974,7yNJCsUH3tXlpQiHSsAc5l
42,Rockin' Around The Christmas Tree,Brenda Lee,rockin' around the christmas tree,brenda lee,brenda lee,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,2EjXfH91m7f8HiJN1yQg97
43,Wonder,Shawn Mendes,wonder,shawn mendes,shawn mendes,0.333,0.637,1.0,-4.904,0.0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,5KCbr5ndeby4y4ggthdiAb
44,pov,Ariana Grande,pov,ariana grande,ariana grande,0.487,0.534,0.0,-5.664,0.0,0.0555,0.36,0.0,0.1,0.173,131.798,3UoULw70kMsiVXxW0L3A33
45,Stripes Like Burberry,Future & Lil Uzi Vert,stripes like burberry,future & lil uzi vert,future lil uzi vert,0.758,0.574,9.0,-7.833,0.0,0.217,0.216,0.0,0.144,0.706,144.081,6lt8iodSkYWEV0ifKCSlfg
46,Come & Go,Juice WRLD x Marshmello,come & go,juice wrld x marshmello,juice wrld marshmello,0.625,0.814,0.0,-5.181,1.0,0.0657,0.0172,0.0,0.158,0.535,144.991,2Y0wPrPQBrGhoLn14xRYCG
47,Diamonds,Sam Smith,diamonds,sam smith,sam smith,0.653,0.667,10.0,-6.764,0.0,0.0423,0.154,0.0,0.107,0.556,104.181,5hvwx5i67IwnCkjl9VHkNv
48,Adore You,Harry Styles,adore you,harry styles,harry styles,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,3jjujdWJ72nww5eGnfs2E7
49,That's It,Future & Lil Uzi Vert,that's it,future & lil uzi vert,future lil uzi vert,0.94,0.532,11.0,-5.998,0.0,0.358,0.12,0.0,0.0925,0.599,123.043,5n6gBhdEjCuj3obgCoTEFD
50,You Broke Me First.,Tate McRae,you broke me first.,tate mcrae,tate mcrae,0.642,0.374,4.0,-9.386,1.0,0.0545,0.786,0.0,0.0906,0.0799,124.099,45bE4HXI0AwGZXfZtMp8JR
51,I Should Probably Go To Bed,Dan + Shay,i should probably go to bed,dan + shay,dan + shay,0.721,0.277,1.0,-7.128,1.0,0.0365,0.634,0.0,0.112,0.309,131.935,5ovVcYo2MvjVydFwFyaaqy
52,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,the woo,pop smoke featuring 50 cent & roddy ricch,pop smoke 50 cent roddy ricch,0.49,0.618,1.0,-5.655,1.0,0.104,0.0221,3.77e-06,0.259,0.286,99.7,1H7KnK26kc1YyellpbINEn
53,Real Baby Pluto,Future & Lil Uzi Vert,real baby pluto,future & lil uzi vert,future lil uzi vert,0.898,0.567,1.0,-6.446,1.0,0.302,0.0165,0.0,0.109,0.602,141.973,1rP5gAqMlm8d6UnfseuzSm
54,Ain't Always The Cowboy,Jon Pardi,ain't always the cowboy,jon pardi,jon pardi,,,,,,,,,,,,
